X,Y
-73.9970169,40.7623367
-73.9685415,40.780709
-73.9859619,40.7603416
-73.95261045,40.8107966
-73.9685415,40.780709
-73.9580246,40.7700703
-73.98373145,40.75391862
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-74.0064,40.7142
-73.97530669,40.76892437
-73.9685415,40.780709
-74.0067978,40.7406616
-73.9685415,40.780709
-73.98743637,40.72190492
-73.97712991,40.76148016
-73.9685415,40.780709
-73.99747971,40.73089074
-73.9685415,40.780709
-73.96793833,40.79994562
-73.9685415,40.780709
-74.0064,40.7142
-73.9685415,40.780709
-73.9685415,40.780709
-73.97123167,40.7727461
-74.01064,40.72272
-73.9685415,40.780709
-73.9685415,40.780709
-73.9411469,40.8384514
-73.9685415,40.780709
-73.995059,40.755237
-73.97891732,40.75882475
-73.9756304,40.78906302
-73.9685415,40.780709
-74.0082932,40.7395058
-73.9629,40.761
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.98899536,40.71852606
-73.97071642,40.78946043
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.97740796,40.75261775
-73.931905,40.86484
-73.9685415,40.780709
-73.9685415,40.780709
-74.00611111,40.7425
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.99974579,40.72841034
-74.00118993,40.75759585
-73.9685415,40.780709
-73.98583333,40.72111111
-73.9685415,40.780709
-73.9787216,40.7293892
-73.9685415,40.780709
-74.0064,40.7142
-73.9685415,40.780709
-73.98833333,40.75583333
-73.9685415,40.780709
-73.9685415,40.780709
-74.0064,40.7142
-73.9685415,40.780709
-73.97530669,40.76892437
-73.9685415,40.780709
-73.98283937,40.72276055
-73.9451639,40.8082599
-74.0011902,40.7321587
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.949594,40.8268885
-73.9685415,40.780709
-73.9685415,40.780709
-73.9685415,40.780709
-73.95535063,40.80459891
-74.0059731,40.7143528
