Date,Open,High,Low,Close,Adj Close,Volume
2015-09-30,16057.080078,16865.089844,16013.660156,16790.189453,16790.189453,641700000
2015-10-07,16805.419922,17172.810547,16765.000000,17081.890625,17081.890625,492050000
2015-10-14,17079.080078,17264.880859,16887.669922,17217.109375,17217.109375,614050000
2015-10-21,17225.929688,17679.369141,17153.130859,17581.429688,17581.429688,648230000
2015-10-28,17586.689453,17977.849609,17556.710938,17918.150391,17918.150391,548310000
2015-11-04,17929.580078,17964.119141,17657.720703,17758.210938,17758.210938,536100000
2015-11-11,17769.500000,17807.179688,17210.429688,17489.500000,17489.500000,648310000
2015-11-18,17485.490234,17914.339844,17485.490234,17812.189453,17812.189453,636430000
2015-11-25,17820.810547,17895.500000,17719.720703,17888.349609,17888.349609,424520000
2015-12-02,17883.140625,17901.580078,17425.560547,17568.000000,17568.000000,580890000
2015-12-09,17558.179688,17767.689453,17138.470703,17524.910156,17524.910156,629810000
2015-12-16,17530.849609,17796.759766,17116.730469,17417.269531,17417.269531,790610000
2015-12-23,17427.630859,17750.019531,17427.630859,17720.980469,17720.980469,262800000
2015-12-30,17711.939453,17714.130859,16957.630859,17158.660156,17158.660156,407260000
2016-01-06,17154.830078,17154.830078,16232.030273,16516.220703,16516.220703,683610000
2016-01-13,16526.630859,16593.509766,15842.110352,16016.019531,16016.019531,695930000
2016-01-20,15989.450195,16185.790039,15450.559570,16167.230469,16167.230469,724320000
2016-01-27,16168.740234,16510.980469,15863.719727,16153.540039,16153.540039,727070000
2016-02-03,16186.200195,16485.839844,15803.549805,16014.379883,16014.379883,705990000
2016-02-10,16035.610352,16201.889648,15503.009766,16196.410156,16196.410156,568940000
2016-02-17,16217.980469,16664.240234,16217.980469,16431.779297,16431.779297,563780000
2016-02-24,16418.839844,16865.560547,16165.860352,16865.080078,16865.080078,517490000
2016-03-02,16851.169922,17099.250000,16766.320313,16964.099609,16964.099609,511160000
2016-03-09,16969.169922,17275.070313,16821.859375,17251.529297,17251.529297,546860000
2016-03-16,17249.339844,17648.939453,17204.070313,17582.570313,17582.570313,737790000
2016-03-23,17588.810547,17642.810547,17399.009766,17633.109375,17633.109375,324960000
2016-03-30,17652.359375,17811.480469,17568.019531,17603.320313,17603.320313,487280000
2016-04-06,17605.449219,17744.429688,17484.230469,17721.250000,17721.250000,457640000
2016-04-13,17741.660156,18103.460938,17741.660156,18053.599609,18053.599609,473590000
2016-04-20,18059.490234,18167.630859,17855.550781,17990.320313,17990.320313,513390000
2016-04-27,17996.140625,18084.660156,17651.980469,17750.910156,17750.910156,523840000
2016-05-04,17735.019531,17934.609375,17580.380859,17928.349609,17928.349609,417950000
2016-05-11,17919.029297,17919.029297,17469.919922,17529.980469,17529.980469,454290000
2016-05-18,17501.279297,17742.589844,17331.070313,17706.050781,17706.050781,460910000
2016-05-25,17735.089844,17899.240234,17724.029297,17787.199219,17787.199219,368700000
2016-06-01,17754.550781,18003.230469,17664.789063,17938.279297,17938.279297,386980000
2016-06-08,17931.910156,18016.000000,17595.789063,17674.820313,17674.820313,426920000
2016-06-15,17703.650391,17946.359375,17471.289063,17829.730469,17829.730469,619270000
2016-06-22,17832.669922,18011.070313,17063.080078,17409.720703,17409.720703,677440000
2016-06-29,17456.019531,18002.380859,17456.019531,17840.619141,17840.619141,425220000
2016-07-06,17807.470703,18371.949219,17713.449219,18347.669922,18347.669922,439080000
2016-07-13,18356.779297,18562.529297,18315.759766,18559.009766,18559.009766,453040000
2016-07-20,18582.699219,18622.009766,18387.220703,18473.750000,18473.750000,429920000
2016-07-27,18473.269531,18542.390625,18247.789063,18313.769531,18313.769531,481820000
2016-08-03,18313.080078,18585.320313,18283.230469,18533.050781,18533.050781,367370000
2016-08-10,18541.480469,18722.609375,18468.779297,18552.019531,18552.019531,325750000
2016-08-17,18537.089844,18631.599609,18466.859375,18547.300781,18547.300781,382350000
2016-08-24,18537.500000,18572.089844,18335.339844,18454.300781,18454.300781,348880000
2016-08-31,18436.699219,18551.539063,18295.480469,18538.119141,18538.119141,331090000
2016-09-07,18527.710938,18536.890625,17994.839844,18066.750000,18066.750000,473390000
2016-09-14,18073.390625,18254.880859,17992.210938,18129.960938,18129.960938,631960000
2016-09-21,18164.960938,18449.880859,18052.160156,18228.300781,18228.300781,433930000
2016-09-28,18240.220703,18369.619141,18091.640625,18168.449219,18168.449219,477230000
2016-10-05,18205.500000,18399.960938,18061.960938,18128.660156,18128.660156,398250000
2016-10-12,18132.630859,18261.109375,17959.949219,18161.939453,18161.939453,393000000
2016-10-19,18178.210938,18275.039063,18049.769531,18169.269531,18169.269531,466410000
2016-10-26,18103.800781,18257.060547,17940.839844,18037.099609,18037.099609,489080000
2016-11-02,18017.720703,18400.500000,17883.560547,18332.740234,18332.740234,437500000
2016-11-09,18317.259766,18934.050781,18252.550781,18923.060547,18923.060547,657710000
2016-11-16,18909.849609,19043.900391,18825.890625,19023.869141,19023.869141,452970000
2016-11-23,19015.519531,19152.140625,19000.380859,19121.599609,19121.599609,293740000
2016-11-30,19135.640625,19274.849609,19123.380859,19251.779297,19251.779297,961050000
2016-12-07,19241.990234,19953.750000,19229.830078,19911.210938,19911.210938,1766320000
2016-12-14,19876.130859,19987.630859,19748.669922,19974.619141,19974.619141,1925640000
2016-12-21,19968.970703,19986.560547,19882.189453,19945.039063,19945.039063,831730000
2016-12-28,19964.310547,19981.109375,19718.669922,19881.759766,19881.759766,971480000
2017-01-04,19890.939453,19999.630859,19811.119141,19855.529297,19855.529297,1414550000
2017-01-11,19887.380859,19973.419922,19770.470703,19826.769531,19826.769531,1248120000
2017-01-18,19822.730469,19949.240234,19677.939453,19912.710938,19912.710938,1717920000
2017-01-25,19994.480469,20125.580078,19784.769531,19864.089844,19864.089844,1763130000
2017-02-01,19923.810547,20155.349609,19831.089844,20090.289063,20090.289063,1679500000
2017-02-08,20049.289063,20504.410156,20015.330078,20504.410156,20504.410156,1589150000
2017-02-15,20504.269531,20757.640625,20496.029297,20743.000000,20743.000000,1416000000
2017-02-22,20715.410156,20851.330078,20692.390625,20812.240234,20812.240234,1500930000
2017-03-01,20957.289063,21169.109375,20901.259766,20924.759766,20924.759766,1508400000
2017-03-08,20940.439453,20951.439453,20777.160156,20837.369141,20837.369141,1424250000
2017-03-15,20874.779297,21000.109375,20653.259766,20668.009766,20668.009766,1729160000
2017-03-22,20640.419922,20757.890625,20412.800781,20701.500000,20701.500000,1467170000
2017-03-29,20675.750000,20753.779297,20517.820313,20689.240234,20689.240234,1336050000
2017-04-05,20745.060547,20887.500000,20512.560547,20651.300781,20651.300781,1242030000
2017-04-12,20637.949219,20644.410156,20453.250000,20523.279297,20523.279297,995900000
2017-04-19,20503.519531,21026.970703,20379.550781,20996.119141,20996.119141,1667410000
2017-04-26,21009.949219,21070.900391,20898.380859,20949.890625,20949.890625,1591200000
2017-05-03,20915.000000,21046.849609,20847.949219,20975.779297,20975.779297,1395750000
2017-05-10,20958.490234,21033.529297,20798.900391,20979.750000,20979.750000,1484270000
2017-05-17,20846.169922,20961.140625,20553.449219,20937.910156,20937.910156,1732040000
2017-05-24,20949.210938,21112.320313,20933.580078,21029.470703,21029.470703,1002960000
2017-05-31,21048.460938,21225.039063,20942.570313,21136.230469,21136.230469,1531350000
2017-06-07,21171.570313,21332.769531,21113.310547,21328.470703,21328.470703,1852520000
2017-06-14,21342.710938,21535.029297,21261.869141,21467.140625,21467.140625,1815150000
2017-06-21,21466.390625,21506.210938,21310.660156,21310.660156,21310.660156,1465630000
2017-06-28,21372.359375,21562.750000,21197.080078,21479.269531,21479.269531,1108330000
2017-07-05,21492.830078,21505.359375,21279.300781,21409.070313,21409.070313,1354290000
2017-07-12,21467.929688,21681.529297,21467.929688,21574.730469,21574.730469,1231620000
2017-07-19,21569.250000,21670.619141,21496.130859,21613.429688,21613.429688,1518200000
2017-07-26,21690.380859,21990.960938,21683.289063,21963.919922,21963.919922,1607210000
2017-08-02,22004.359375,22179.109375,21967.460938,22085.339844,22085.339844,1344200000
2017-08-09,22022.339844,22057.189453,21842.740234,21998.990234,21998.990234,1323000000
2017-08-16,22031.929688,22085.710938,21600.339844,21899.890625,21899.890625,1407880000
2017-08-23,21850.269531,21906.859375,21673.580078,21865.369141,21865.369141,1126940000
2017-08-30,21859.759766,22038.970703,21709.630859,21753.310547,21753.310547,1208710000
2017-09-06,21815.759766,22134.570313,21731.119141,22118.859375,22118.859375,1619320000
2017-09-13,22103.470703,22386.009766,22095.789063,22370.800781,22370.800781,1715520000
2017-09-20,22351.380859,22419.509766,22219.109375,22284.320313,22284.320313,1537510000
2017-09-27,22330.929688,22646.320313,22254.929688,22641.669922,22641.669922,1388060000
2017-10-04,22645.669922,22850.509766,22632.800781,22830.679688,22830.679688,1333620000
2017-10-11,22827.650391,23002.199219,22821.130859,22997.439453,22997.439453,1387620000
2017-10-18,23087.130859,23485.250000,23052.669922,23441.759766,23441.759766,1960330000
2017-10-25,23431.089844,23459.839844,23251.109375,23377.240234,23377.240234,2113980000
2017-11-01,23442.900391,23602.119141,23350.980469,23557.230469,23557.230469,1631820000
2017-11-08,23542.599609,23575.000000,23271.570313,23409.470703,23409.470703,1973980000
2017-11-15,23334.589844,23617.800781,23242.750000,23590.830078,23590.830078,1837300000
2017-11-22,23597.240234,23849.609375,23507.609375,23836.710938,23836.710938,1002930000
2017-11-29,23883.259766,24534.039063,23872.589844,24180.640625,24180.640625,2102960000
2017-12-06,24171.900391,24552.970703,24101.240234,24504.800781,24504.800781,1568170000
2017-12-13,24525.189453,24876.070313,24508.660156,24754.750000,24754.750000,1966010000
2017-12-20,24838.089844,24852.439453,24697.109375,24746.210938,24746.210938,1144750000
2017-12-27,24766.519531,24871.660156,24719.220703,24824.009766,24824.009766,1038740000
2018-01-03,24850.449219,25439.779297,24825.550781,25385.800781,25385.800781,1892970000
2018-01-10,25348.130859,26086.119141,25256.990234,25792.859375,25792.859375,1671210000
2018-01-17,25910.779297,26246.189453,25865.019531,26210.810547,26210.810547,2465190000
2018-01-24,26282.070313,26616.710938,26028.419922,26076.890625,26076.890625,2267290000
2018-01-31,26268.169922,26338.029297,23778.740234,24912.769531,24912.769531,2951020000
2018-02-07,24892.869141,25293.960938,23360.289063,24640.449219,24640.449219,2768170000
2018-02-14,24535.820313,25432.419922,24490.359375,24964.750000,24964.750000,1676180000
2018-02-21,24988.060547,25800.349609,24792.990234,25410.029297,25410.029297,2082140000
2018-02-28,25485.150391,25576.150391,24217.759766,24884.119141,24884.119141,2110960000
2018-03-07,24758.150391,25449.150391,24535.119141,25007.029297,25007.029297,1903400000
2018-03-14,25086.970703,25130.119141,24453.140625,24727.269531,24727.269531,2047880000
2018-03-21,24723.490234,24977.650391,23509.060547,23857.710938,23857.710938,2269080000
2018-03-28,23883.080078,24314.300781,23344.519531,24033.359375,24033.359375,1897540000
2018-04-04,23654.150391,24622.259766,23523.160156,24408.000000,24408.000000,1881700000
2018-04-11,24274.189453,24858.970703,24150.869141,24786.630859,24786.630859,1601860000
2018-04-18,24820.849609,24832.539063,23828.730469,24024.130859,24024.130859,2040120000
2018-04-25,24070.199219,24498.230469,23808.189453,24099.050781,24099.050781,2016990000
2018-05-02,24097.630859,24479.449219,23531.310547,24360.210938,24360.210938,1756680000
2018-05-09,24399.179688,24994.189453,24323.869141,24706.410156,24706.410156,1524700000
2018-05-16,24722.320313,25086.490234,24639.400391,24834.410156,24834.410156,1462280000
2018-05-23,24757.710938,24889.460938,24247.839844,24361.449219,24361.449219,1399680000
2018-05-30,24467.830078,24859.369141,24352.150391,24799.980469,24799.980469,1717060000
2018-06-06,24854.140625,25402.830078,24854.140625,25320.730469,25320.730469,1533770000
2018-06-13,25328.650391,25362.070313,24567.750000,24700.210938,24700.210938,2043690000
2018-06-20,24771.169922,24804.759766,24084.390625,24283.109375,24283.109375,1923320000
2018-06-27,24303.109375,24569.019531,23997.210938,24174.820313,24174.820313,1352950000
2018-07-04,24285.820313,24945.380859,24177.439453,24919.660156,24919.660156,932740000
2018-07-11,24789.480469,25155.390625,24663.820313,25119.890625,25119.890625,1207760000
2018-07-18,25133.789063,25286.619141,24983.330078,25241.939453,25241.939453,1316470000
2018-07-25,25183.699219,25587.240234,25113.550781,25415.189453,25415.189453,1546460000
2018-08-01,25461.630859,25692.720703,25120.070313,25628.910156,25628.910156,1341500000
2018-08-08,25615.720703,25634.109375,25153.929688,25299.919922,25299.919922,1106420000
2018-08-15,25235.369141,25888.820313,24965.769531,25822.289063,25822.289063,1412590000
2018-08-22,25825.060547,26122.240234,25608.019531,26064.019531,26064.019531,1046060000
2018-08-29,26082.529297,26167.939453,25805.949219,25952.480469,25952.480469,983440000
2018-09-05,25919.839844,26073.679688,25754.320313,25971.060547,25971.060547,1351070000
2018-09-12,25989.070313,26317.339844,25929.429688,26246.960938,26246.960938,1245440000
2018-09-19,26287.839844,26769.160156,26280.759766,26492.210938,26492.210938,1658390000
2018-09-26,26536.859375,26824.779297,26349.339844,26773.939453,26773.939453,1249610000
2018-10-03,26833.470703,26951.810547,26223.089844,26430.570313,26430.570313,1392410000
2018-10-10,26441.730469,26487.869141,24899.769531,25798.419922,25798.419922,1951710000
2018-10-17,25705.869141,25810.089844,24768.789063,25191.429688,25191.429688,1728410000
2018-10-24,25172.880859,25306.230469,24122.230469,24874.640625,24874.640625,2355280000
2018-10-31,25008.820313,25651.859375,25008.820313,25635.009766,25635.009766,1862570000
2018-11-07,25788.460938,26277.820313,25193.779297,25286.490234,25286.490234,1668480000
2018-11-14,25388.080078,25510.230469,24368.980469,24465.640625,24465.640625,1935460000
2018-11-21,24541.650391,24750.730469,24268.740234,24748.730469,24748.730469,1059840000
2018-11-28,24832.839844,25980.210938,24832.839844,25027.070313,25027.070313,1956900000
2018-12-05,24737.419922,25095.619141,23881.369141,24370.240234,24370.240234,1602570000
2018-12-12,24509.089844,24828.289063,23456.880859,23675.640625,23675.640625,1936050000
2018-12-19,23693.330078,24057.339844,21792.199219,21792.199219,21792.199219,2289180000
2018-12-26,21857.730469,23381.880859,21712.529297,23327.460938,23327.460938,1466360000
2019-01-02,23058.609375,23864.650391,22638.410156,23787.449219,23787.449219,1793450000
2019-01-09,23844.269531,24099.140625,23703.160156,24065.589844,24065.589844,1494500000
2019-01-16,24139.910156,24750.220703,24088.900391,24404.480469,24404.480469,1302870000
2019-01-23,24577.250000,24860.150391,24307.169922,24579.960938,24579.960938,1693700000
2019-01-30,24826.519531,25427.320313,24790.900391,25411.519531,25411.519531,1885960000
2019-02-06,25371.570313,25458.980469,24883.039063,25425.759766,25425.759766,1311070000
2019-02-13,25480.859375,25961.439453,25308.089844,25891.320313,25891.320313,1185490000
2019-02-20,25872.259766,26241.419922,25762.210938,26057.980469,26057.980469,1362800000
2019-02-27,25995.599609,26155.980469,25611.550781,25806.630859,25806.630859,1431560000
2019-03-06,25818.759766,25837.609375,25208.000000,25554.660156,25554.660156,1443410000
2019-03-13,25637.230469,26109.679688,25571.310547,25887.380859,25887.380859,1896530000
2019-03-20,25867.789063,26009.900391,25372.259766,25657.730469,25657.730469,1651970000
2019-03-27,25676.339844,26280.900391,25425.269531,26179.130859,26179.130859,1354640000
2019-04-03,26238.029297,26487.570313,26103.140625,26150.580078,26150.580078,1208360000
2019-04-10,26173.710938,26530.710938,26062.589844,26452.660156,26452.660156,1337680000
2019-04-17,26468.529297,26695.960938,26391.859375,26656.390625,26656.390625,1244890000
2019-04-24,26652.560547,26680.580078,26310.279297,26592.910156,26592.910156,1517160000
2019-05-01,26639.060547,26689.390625,25789.710938,25965.089844,25965.089844,1458340000
2019-05-08,25933.789063,26118.099609,25222.509766,25532.050781,25532.050781,1558570000
2019-05-15,25400.130859,25957.630859,25341.939453,25877.330078,25877.330078,1415870000
2019-05-22,25818.460938,25878.210938,25328.089844,25347.769531,25347.769531,1119050000
2019-05-29,25231.460938,25343.769531,24680.570313,25332.179688,25332.179688,1416330000
2019-06-05,25451.000000,26248.669922,25373.580078,26048.509766,26048.509766,1276510000
2019-06-12,26040.300781,26527.189453,25958.660156,26465.539063,26465.539063,1118100000
2019-06-19,26490.160156,26907.369141,26415.050781,26548.220703,26548.220703,1519230000
2019-06-26,26599.419922,26890.640625,26465.320313,26786.679688,26786.679688,1507560000
2019-07-03,26832.320313,26966.000000,26665.570313,26783.490234,26783.490234,774630000
2019-07-10,26851.960938,27398.679688,26813.109375,27335.630859,27335.630859,1134410000
2019-07-17,27320.910156,27368.810547,27068.789063,27349.189453,27349.189453,1162850000
2019-07-24,27262.240234,27298.429688,27062.480469,27198.019531,27198.019531,1263490000
2019-07-31,27244.669922,27281.650391,25523.380859,26029.519531,26029.519531,1839510000
2019-08-07,25814.220703,26426.970703,25440.390625,26279.910156,26279.910156,1375870000
2019-08-14,26035.080078,26222.320313,25339.599609,25962.439453,25962.439453,1451800000
2019-08-21,26145.359375,26388.779297,25507.179688,25777.900391,25777.900391,1282170000
2019-08-28,25712.990234,26514.619141,25637.429688,26118.019531,26118.019531,2829740000
2019-09-04,26301.990234,26909.429688,26244.439453,26909.429688,26909.429688,1264540000
2019-09-11,26928.050781,27306.730469,26885.480469,27110.800781,27110.800781,1222060000
2019-09-18,27075.390625,27272.169922,26704.960938,26807.769531,26807.769531,1428850000
2019-09-25,26866.710938,27046.210938,26562.220703,26573.039063,26573.039063,1166970000
2019-10-02,26425.859375,26655.839844,25743.460938,26164.039063,26164.039063,1212350000
2019-10-09,26308.230469,27120.109375,26249.750000,27024.800781,27024.800781,1113950000
2019-10-16,26972.310547,27112.160156,26747.619141,26788.099609,26788.099609,1232710000
2019-10-23,26835.240234,27167.880859,26714.339844,27071.460938,27071.460938,1336260000
2019-10-30,27110.710938,27560.359375,26918.289063,27492.630859,27492.630859,1332910000
2019-11-06,27502.740234,27774.669922,27407.810547,27691.490234,27691.490234,1134390000
2019-11-13,27622.039063,28090.210938,27587.199219,27934.019531,27934.019531,1364290000
2019-11-20,27879.550781,28146.019531,27675.279297,28121.679688,28121.679688,1277410000
2019-11-27,28156.470703,28174.970703,28042.529297,28051.410156,28051.410156,318840000
